Team,Player,Position,P_Start,Expected_Minutes,Goal_Share_Pct,Assist_Share_Pct,Penalty_Taker,Set_Pieces
Argentina,Martinez (GK),GK,0.98,90,0,0,N,N
Argentina,Molina,DEF,0.9,85,2,5,N,N
Argentina,Romero,DEF,0.9,85,3,1,N,N
Argentina,Martinez,DEF,0.9,85,2,1,N,N
Argentina,Tagliafico,DEF,0.9,85,2,3,N,N
Argentina,De Paul,MID,0.88,80,4,12,N,Secondary
Argentina,Fernandez,MID,0.88,80,5,10,N,N
Argentina,Mac Allister,MID,0.88,80,5,12,N,N
Argentina,Messi,FWD,0.95,85,28,25,Y,Primary
Argentina,Alvarez,FWD,0.9,80,24,12,N,N
Argentina,Martinez (FWD),FWD,0.9,80,22,8,N,N
Brazil,Alisson,GK,0.98,90,0,0,N,N
Brazil,Danilo,DEF,0.9,85,2,3,N,N
Brazil,Militao,DEF,0.9,85,2,1,N,N
Brazil,Marquinhos,DEF,0.9,85,3,1,N,N
Brazil,Mendes,DEF,0.9,85,2,4,N,N
Brazil,Guimaraes,MID,0.88,80,4,10,N,N
Brazil,Casemiro,MID,0.88,80,3,5,N,N
Brazil,Paqueta,MID,0.88,80,8,14,Y,Secondary
Brazil,Vinicius Jr.,FWD,0.92,82,25,18,N,N
Brazil,Rodrygo,FWD,0.9,80,18,15,N,N
Brazil,Raphinha,FWD,0.9,80,15,20,N,N
England,Pickford,GK,0.98,90,0,0,N,N
England,Alexander-Arnold,DEF,0.9,85,3,12,N,Primary
England,Stones,DEF,0.9,85,3,2,N,N
England,Guehi,DEF,0.9,85,2,1,N,N
England,Shaw,DEF,0.9,85,2,7,N,N
England,Rice,MID,0.9,85,4,6,N,N
England,Bellingham,MID,0.95,85,15,12,N,N
England,Foden,MID,0.92,82,12,16,N,N
England,Saka,FWD,0.92,80,18,18,N,N
England,Kane,FWD,0.98,88,35,10,Y,Primary
England,Grealish,FWD,0.75,70,8,15,N,N
France,Maignan,GK,0.98,90,0,0,N,N
France,Kounde,DEF,0.9,85,2,4,N,N
France,Konate,DEF,0.9,85,2,1,N,N
France,Saliba,DEF,0.9,85,2,1,N,N
France,Hernandez,DEF,0.9,85,2,5,N,N
France,Tchouameni,MID,0.9,85,4,6,N,N
France,Kante,MID,0.88,80,2,5,N,N
France,Zaire-Emery,MID,0.65,45,4,6,N,N
France,Dembele,FWD,0.9,80,12,20,N,N
France,Mbappe,FWD,0.98,88,35,15,Y,Primary
France,Thuram,FWD,0.88,80,18,8,N,N
Germany,Neuer,GK,0.98,90,0,0,N,N
Germany,Kimmich,DEF,0.9,85,2,10,N,Primary
Germany,Rudiger,DEF,0.9,85,2,1,N,N
Germany,Tah,DEF,0.9,85,2,1,N,N
Germany,Raum,DEF,0.9,85,2,8,N,N
Germany,Andrich,MID,0.88,80,3,4,N,N
Germany,Gundogan,MID,0.9,82,10,14,Y,Secondary
Germany,Musiala,FWD,0.95,85,20,15,N,N
Germany,Wirtz,FWD,0.95,85,18,18,N,N
Germany,Sane,FWD,0.9,80,15,12,N,N
Germany,Havertz,FWD,0.9,80,22,10,N,N
Netherlands,Verbruggen,GK,0.98,90,0,0,N,N
Netherlands,Dumfries,DEF,0.88,85,5,6,N,N
Netherlands,Van Hecke,DEF,0.88,85,2,1,N,N
Netherlands,Van Dijk,DEF,0.88,85,5,1,N,N
Netherlands,Van de Ven,DEF,0.88,85,2,3,N,N
Netherlands,De Jong,MID,0.95,85,5,12,N,N
Netherlands,Gravenberch,MID,0.65,45,4,8,N,N
Netherlands,Reijnders,MID,0.65,45,8,10,N,N
Netherlands,Simons,FWD,0.9,80,15,18,N,N
Netherlands,Gakpo,FWD,0.92,82,25,10,N,N
Netherlands,Depay,FWD,0.9,80,20,12,Y,Primary
Spain,Simon,GK,0.98,90,0,0,N,N
Spain,Carvajal,DEF,0.9,85,3,5,N,N
Spain,Le Normand,DEF,0.9,85,2,1,N,N
Spain,Laporte,DEF,0.9,85,2,1,N,N
Spain,Grimaldo,DEF,0.9,85,3,10,N,Secondary
Spain,Rodri,MID,0.98,88,5,8,N,N
Spain,Ruiz,MID,0.88,80,8,10,N,N
Spain,Pedri,MID,0.92,82,8,18,N,N
Spain,Yamal,FWD,0.95,80,18,20,N,N
